wl_start_A,wl_end_A,magellan_value,magellan_err_plus,magellan_err_minus,vlt_value,vlt_err_plus,vlt_err_minus,global_value,global_err_plus,global_err_minus
4000.0,4500.0,,,,0.1173,0.0014,0.0013,0.1177,0.0014,0.0013
4500.0,4750.0,,,,0.1161,0.0011,0.0013,0.1165,0.0011,0.0013
4750.0,5025.0,0.1165,0.0036,0.0043,0.1153,0.0011,0.0013,0.1158,0.0010,0.0010
5025.0,5255.0,0.1143,0.0014,0.0015,0.1149,0.0011,0.0013,0.1147,0.0009,0.0009
5255.0,5435.0,0.1138,0.0011,0.0010,0.1153,0.0006,0.0006,0.1149,0.0006,0.0005
5435.0,5615.0,0.1207,0.0011,0.0012,0.1158,0.0007,0.0007,0.1173,0.0006,0.0006
5615.0,5800.5,0.1185,0.0023,0.0020,0.1169,0.0007,0.0007,0.1174,0.0007,0.0007
5800.5,5985.5,0.1184,0.0009,0.0009,0.1185,0.0007,0.0009,0.1183,0.0006,0.0006
5985.5,6175.0,0.1186,0.0011,0.0010,0.1173,0.0008,0.0008,0.1177,0.0006,0.0006
6175.0,6360.0,0.1139,0.0009,0.0009,0.1162,0.0008,0.0007,0.1151,0.0005,0.0005
6360.0,6545.0,0.1139,0.0009,0.0009,0.1156,0.0010,0.0008,0.1145,0.0006,0.0007
6545.0,6730.0,0.1135,0.0010,0.0009,0.1151,0.0012,0.0011,0.1139,0.0007,0.0007
6730.0,6930.0,0.1141,0.0009,0.0009,0.1147,0.0009,0.0009,0.1142,0.0006,0.0006
6930.0,7110.0,0.1155,0.0015,0.0018,0.1150,0.0007,0.0007,0.1154,0.0007,0.0007
7110.0,7290.0,0.1167,0.0014,0.0015,0.1150,0.0010,0.0009,0.1156,0.0007,0.0009
7290.0,7470.0,0.1073,0.0010,0.0010,0.1154,0.0010,0.0009,0.1116,0.0007,0.0007
7470.0,7594.0,0.1168,0.0012,0.0011,0.1161,0.0010,0.0009,0.1165,0.0008,0.0008
7672.0,7836.0,0.1134,0.0008,0.0009,0.1152,0.0009,0.0008,0.1142,0.0006,0.0006
7836.0,8000.0,0.1160,0.0009,0.0009,0.1163,0.0010,0.0009,0.1159,0.0006,0.0007
8000.0,8250.0,0.1225,0.0008,0.0008,0.1140,0.0010,0.0011,0.1187,0.0007,0.0006
